{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 80, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.01, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x7fff4c3749d0>, 'validation_loss': 2.816023111343384, 'training_loss': 1.2219158411026, 'accuracy': 22.063037249283667}
{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 80, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.003, 'momentum': 0.7, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x7fff4c8d9ac0>, 'validation_loss': 3.402780055999756, 'training_loss': 3.214491605758667, 'accuracy': 17.191977077363898}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 80, 'batch_size': 64, 'learning_rate': 0.0004, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.007, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x7fff4c9bbb20>, 'validation_loss': 3.2710933685302734, 'training_loss': 0.9692391753196716, 'accuracy': 23.20916905444126}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 80, 'batch_size': 64, 'learning_rate': 5e-05, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.002, 'momentum': 0.63, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x7fff4ca48190>, 'validation_loss': 3.764525890350342, 'training_loss': 3.7922263145446777, 'accuracy': 1.7191977077363896}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 80, 'batch_size': 64, 'learning_rate': 3e-05, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.003, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x7fff4c7652b0>, 'validation_loss': 3.809816598892212, 'training_loss': 3.72843337059021, 'accuracy': 4.584527220630372}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 80, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.009, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x7fff4c84f340>, 'validation_loss': 3.154811382293701, 'training_loss': 1.53278648853302, 'accuracy': 22.349570200573066}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 80, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.003, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x7fff4c972460>, 'validation_loss': 4.449167728424072, 'training_loss': 1.242056131362915, 'accuracy': 19.197707736389685}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 80, 'batch_size': 64, 'learning_rate': 0.006, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.001, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x7fff4c366310>, 'validation_loss': 5.4623870849609375, 'training_loss': 0.6074150204658508, 'accuracy': 24.355300859598852}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 80, 'batch_size': 64, 'learning_rate': 0.0001, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.007, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'should_restore': False, 'new_epoch': 0, 'start_epoch': 0, 'scheduler_object': <Scheduler.RootP object at 0x7fff4c40b610>, 'validation_loss': 3.3867619037628174, 'training_loss': 2.560551404953003, 'accuracy': 15.472779369627506}

